Date of Entry,Crerar,Regenstein,Total
7/1/2009,308,1856,2164
7/2/2009,331,1752,2083
7/3/2009,211,650,861
7/4/2009,172,7,179
7/5/2009,206,563,769
7/6/2009,328,1954,2282
7/7/2009,407,2034,2441
7/8/2009,392,1983,2375
7/9/2009,362,1728,2090
7/10/2009,321,1394,1715
7/11/2009,198,509,707
7/12/2009,219,512,731
7/13/2009,376,1781,2157
7/14/2009,367,1781,2148
7/15/2009,387,1773,2160
7/16/2009,361,1764,2125
7/17/2009,259,1347,1606
7/18/2009,195,432,627
7/19/2009,200,501,701
7/20/2009,362,1776,2138
7/21/2009,381,1810,2191
7/22/2009,378,1721,2099
7/23/2009,398,1691,2089
7/24/2009,271,1305,1576
7/25/2009,145,446,591
7/26/2009,168,482,650
7/27/2009,338,1840,2178
7/28/2009,326,1829,2155
7/29/2009,330,1689,2019
7/30/2009,302,1604,1906
7/31/2009,306,1329,1635
8/1/2009,139,419,558
8/2/2009,162,402,564
8/3/2009,336,1600,1936
8/4/2009,303,1653,1956
8/5/2009,325,1582,1907
8/6/2009,296,1533,1829
8/7/2009,273,1310,1583
8/8/2009,127,377,504
8/9/2009,209,489,698
8/10/2009,309,1553,1862
8/11/2009,315,1577,1892
8/12/2009,289,1517,1806
8/13/2009,302,1474,1776
8/14/2009,246,1143,1389
8/15/2009,159,405,564
8/16/2009,168,416,584
8/17/2009,309,1420,1729
8/18/2009,314,1502,1816
8/19/2009,268,1453,1721
8/20/2009,297,1320,1617
8/21/2009,249,1087,1336
8/22/2009,140,386,526
8/23/2009,177,382,559
8/24/2009,276,1313,1589
8/25/2009,296,1284,1580
8/26/2009,264,1210,1474
8/27/2009,283,1135,1418
8/28/2009,269,1038,1307
8/29/2009,155,376,531
8/30/2009,291,7,298
8/31/2009,312,1284,1596
9/1/2009,309,1190,1499
9/2/2009,328,1218,1546
9/3/2009,378,1375,1753
9/4/2009,287,1069,1356
9/5/2009,157,367,524
9/6/2009,263,7,270
9/7/2009,282,8,290
9/8/2009,362,1423,1785
9/9/2009,347,1273,1620
9/10/2009,396,1339,1735
9/11/2009,287,1040,1327
9/12/2009,163,357,520
9/13/2009,242,9,251
9/14/2009,315,1390,1705
9/15/2009,376,1461,1837
9/16/2009,330,1353,1683
9/17/2009,328,1353,1681
9/18/2009,312,1262,1574
9/19/2009,61,427,488
9/20/2009,,12,12
9/21/2009,332,923,1255
9/22/2009,347,1605,1952
9/23/2009,401,1737,2138
9/24/2009,433,1793,2226
9/25/2009,310,1452,1762
9/26/2009,197,545,742
9/27/2009,225,358,583
9/28/2009,356,2081,2437
9/29/2009,550,3428,3978
9/30/2009,595,3764,4359
10/1/2009,600,3328,3928
10/2/2009,446,2716,3162
10/3/2009,189,1109,1298
10/4/2009,352,1834,2186
10/5/2009,763,4165,4928
10/6/2009,668,4075,4743
10/7/2009,646,3946,4592
10/8/2009,499,3488,3987
10/9/2009,396,2533,2929
10/10/2009,250,1049,1299
10/11/2009,343,2038,2381
10/12/2009,673,4215,4888
10/13/2009,698,3960,4658
10/14/2009,645,3939,4584
10/15/2009,612,3331,3943
10/16/2009,469,2593,3062
10/17/2009,235,1187,1422
10/18/2009,380,2019,2399
10/19/2009,692,4150,4842
10/20/2009,679,4161,4840
10/21/2009,655,3996,4651
10/22/2009,496,3641,4137
10/23/2009,429,2498,2927
10/24/2009,204,1224,1428
10/25/2009,391,2186,2577
10/26/2009,731,4486,5217
10/27/2009,641,4307,4948
10/28/2009,665,4041,4706
10/29/2009,590,3615,4205
10/30/2009,371,2405,2776
10/31/2009,242,1220,1462
11/1/2009,446,2377,2823
11/2/2009,788,4416,5204
11/3/2009,666,4153,4819
11/4/2009,594,4085,4679
11/5/2009,616,3601,4217
11/6/2009,362,2623,2985
11/7/2009,248,1211,1459
11/8/2009,460,2033,2493
11/9/2009,747,4277,5024
11/10/2009,652,4167,4819
11/11/2009,736,4113,4849
11/12/2009,581,3533,4114
11/13/2009,431,2614,3045
11/14/2009,213,1210,1423
11/15/2009,329,2084,2413
11/16/2009,672,4242,4914
11/17/2009,585,3953,4538
11/18/2009,633,3922,4555
11/19/2009,513,2914,3427
11/20/2009,408,2942,3350
11/21/2009,257,1725,1982
11/22/2009,309,3000,3309
11/23/2009,598,6023,6621
11/24/2009,524,4788,5312
11/25/2009,329,2816,3145
11/26/2009,2,7,9
11/27/2009,128,886,1014
11/28/2009,156,1191,1347
11/29/2009,304,2357,2661
11/30/2009,754,5883,6637
12/1/2009,710,5919,6629
12/2/2009,663,5336,5999
12/3/2009,702,5249,5951
12/4/2009,711,4556,5267
12/5/2009,600,3203,3803
12/6/2009,717,4240,4957
12/7/2009,929,6305,7234
12/8/2009,776,5515,6291
12/9/2009,557,4898,5455
12/10/2009,436,3656,4092
12/11/2009,270,2306,2576
12/12/2009,141,607,748
12/13/2009,154,362,516
