"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WSF2","WT01","WT02","WT03","WT04","WT05","WT08","WT09","WT10"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-01","8.05"," 1836","0.00",,,,"27","13","  350","14.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-02","8.95"," 1318","0.00",,,,"30","11","  210","15.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-03","11.18"," 1038","0.00",,,,"30","19","  260","16.1",,,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-04","13.87"," 1445","0.00",,,,"37","14","  240","23.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-05","10.07"," 1945","0.01",,,,"39","23","  220","19.9","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-06","11.63"," 0458","0.00",,,,"37","22","  300","21.0","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-07","12.30"," 1356","0.00",,,,"39","20","  190","23.9","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-08","8.95"," 1926","0.00",,,,"42","28","  170","18.1",,,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-09","13.42"," 1312","0.00",,,,"51","29","  280","32.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-10","8.28"," 2244","0.52",,,,"46","25","  120","17.0","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-11","12.75"," 2007","0.20",,,,"54","44","  190","21.0","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-12","12.08"," 0022","0.08",,,,"53","32","  250","21.0","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-13","10.96"," 1939","0.03",,,,"32","14","  270","19.9","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-14","5.59"," 0027","0.00",,,,"26","12","  280","15.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-15","1.79"," 1516","0.00",,,,"31","16","  310","6.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-16","11.18"," 1415","0.00",,,,"37","18","  240","25.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-17","9.40"," 1347","0.00",,,,"32","21","  310","19.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-18","14.09"," 1431","0.00",,,,"42","20","  200","30.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-19","16.78"," 2211","0.00",,,,"48","28","  270","36.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-20","12.97"," 0053","0.00",,,,"28","14","  290","32.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-21","15.66"," 0856","0.00",,,,"15","4","  270","23.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-22","11.18"," 0017","0.00",,,,"12","0","  280","18.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-23","10.74"," 2143","0.00",,,,"20","10","  340","25.1","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-24","10.51"," 0104","0.00",,,,"21","6","  330","21.0","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-25","10.74"," 1910","0.05",,,,"29","19","  310","21.9","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-26","5.82"," 0044","0.00",,,,"29","12","  340","17.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-27","12.08"," 1710","0.27",,,,"38","25","  140","30.0","    1",,"    1",,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-28","10.29"," 0524","0.14",,,,"51","38","  250","16.1","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-29","12.75"," 1639","0.99",,,,"61","41","  210","23.0","    1","    1","    1",,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-30","11.86"," 2313","0.26",,,,"48","21","  310","25.9","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-01-31","17.90"," 0400","0.00",,,,"21","5","  280","25.1","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-01","12.30"," 0344","0.00",,,,"16","1","  240","19.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-02","8.72"," 1101","0.05",,,,"25","9","  360","19.9","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-03","9.40"," 1153","0.00",,,,"23","11","  300","21.0","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-04","8.28"," 1610","0.06",,,,"29","17","   30","18.1","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-05","8.28"," 1926","0.00",,,,"31","13","  320","18.1","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-06","6.93"," 1933","0.00",,,,"37","19","  160","15.0",,,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-07","7.38"," 2342","0.57",,,,"36","32","  330","18.1","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-08","11.18"," 0614","0.00",,,,"33","25","  330","23.0","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-09","7.38"," 1535","0.00",,,,"35","27","  170","17.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-10","13.65"," 1603","0.22",,,,"50","34","  180","25.9","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-11","23.04"," 1051","0.00",,,,"46","30","  250","38.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-12","8.95"," 0244","0.00",,,,"30","25","  290","21.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-13","7.61"," 1407","0.00",,,,"46","24","  240","17.0","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-14","12.75"," 1444","0.00",,,,"40","32","  280","23.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-15","11.41"," 0651","0.00",,,,"34","21","  320","18.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-16","10.96"," 1040","0.00",,,,"22","13","  330","19.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-17","6.04"," 2102","0.00",,,,"31","10","  140","14.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-18","17.00"," 1850","0.24",,,,"53","29","  170","30.0","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-19","19.24"," 0640","0.00",,,,"32","12","  270","29.1","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-20","9.40"," 0216","0.00",,,,"26","9","  310","16.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-21","12.75"," 2042","0.05",,,,"32","21","  100","25.9","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-22","11.86"," 0030","0.06",,,,"35","24","   90","21.9","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-23","12.08"," 0135","0.00",,,,"28","23","  250","18.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-24","4.03"," 0046","0.00",,,,"39","17","  260","12.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-25","6.71"," 2359","0.00",,,,"42","23","   80","17.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-26","17.90"," 0935","0.39",,,,"36","33","   50","28.0","    1","    1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-27","9.17"," 2310","0.05",,,,"35","33","  330","16.1","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-02-28","14.99"," 1535","0.01",,,,"36","28","  350","23.0","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-01","13.65"," 1536","0.00",,,,"32","27","   30","21.9","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-02","11.41"," 1104","0.00",,,,"32","20","  320","19.9",,,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-03","5.82"," 1221","0.00",,,,"35","16","  330","13.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-04","8.05"," 2351","0.00",,,,"34","22","   80","16.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-05","12.30"," 2000","0.22",,,,"33","29","   10","19.9","    1","    1",,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-06","11.41"," 0329","0.00",,,,"35","28","  330","21.9","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-07","4.92"," 1725","0.00",,,,"41","30","   90","10.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-08","5.82"," 1703","0.00",,,,"40","26","  130","12.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-09","10.51"," 1701","0.02",,,,"48","32","  120","18.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-10","9.17"," 1926","1.00",,,,"55","42","  170","23.9","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-11","12.08"," 1323","0.06",,,,"49","33","  230","21.9","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-12","14.54"," 1916","0.00",,,,"37","27","  260","23.9","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-13","12.30"," 1022","0.00",,,,"34","23","  320","25.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-14","6.93"," 1854","0.00",,,,"37","23","  210","14.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-15","6.26"," 2309","0.16",,,,"43","31","   50","16.1","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-16","10.51"," 1127","0.00",,,,"36","31","  350","21.0","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-17","13.87"," 2050","0.00",,,,"36","28","  100","21.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-18","14.09"," 2124","0.02",,,,"36","22","  270","30.0","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-19","20.36"," 1520","0.00",,,,"34","18","  260","30.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-20","14.54"," 1346","0.00",,,,"26","15","  270","21.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-21","7.83"," 0010","0.00",,,,"35","15","  310","16.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-22","5.14"," 1352","0.00",,,,"41","19","   90","12.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-23","7.38"," 1300","0.00",,,,"41","25","   60","17.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-24","17.67"," 1409","0.00",,,,"37","32","   40","30.0","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-25","16.55"," 1302","0.00",,,,"39","32","   20","29.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-26","7.61"," 1559","0.00",,,,"43","31","  320","16.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-03-27","7.16"," 1155","0.00",,,,"43","30","  310","13.0",,,,,,,,
