"","Date","total_trips"
"1",2015-04-17,15
"2",2015-04-18,26
"3",2015-04-19,7
"4",2015-04-20,10
"5",2015-04-21,14
"6",2015-04-22,10
"7",2015-04-23,23
"8",2015-04-24,24
"9",2015-04-25,8
"10",2015-04-26,23
"11",2015-04-27,26
"12",2015-04-28,35
"13",2015-04-29,33
"14",2015-04-30,25
"15",2015-05-01,25
"16",2015-05-02,33
"17",2015-05-03,22
"18",2015-05-04,34
"19",2015-05-05,23
"20",2015-05-06,17
"21",2015-05-07,30
"22",2015-05-08,22
"23",2015-05-09,20
"24",2015-05-10,26
"25",2015-05-11,22
"26",2015-05-12,34
"27",2015-05-13,28
"28",2015-05-14,31
"29",2015-05-15,19
"30",2015-05-16,31
"31",2015-05-17,33
"32",2015-05-18,50
"33",2015-05-19,34
"34",2015-05-20,21
"35",2015-05-21,47
"36",2015-05-22,45
"37",2015-05-23,39
"38",2015-05-24,47
"39",2015-05-25,43
"40",2015-05-26,36
"41",2015-05-27,51
"42",2015-05-28,59
"43",2015-05-29,35
"44",2015-05-30,11
"45",2015-05-31,18
"46",2015-06-01,48
"47",2015-06-02,41
"48",2015-06-03,60
"49",2015-06-04,47
"50",2015-06-05,37
"51",2015-06-06,41
"52",2015-06-07,27
"53",2015-06-08,28
"54",2015-06-09,63
"55",2015-06-10,61
"56",2015-06-11,35
"57",2015-06-12,28
"58",2015-06-13,30
"59",2015-06-14,22
"60",2015-06-15,16
"61",2015-06-16,33
"62",2015-06-17,35
"63",2015-06-18,28
"64",2015-06-19,26
"65",2015-06-20,15
"66",2015-06-21,28
"67",2015-06-22,41
"68",2015-06-23,72
"69",2015-06-24,60
"70",2015-06-25,50
"71",2015-06-26,25
"72",2015-06-27,43
"73",2015-06-28,37
"74",2015-06-29,57
"75",2015-06-30,77
"76",2015-07-01,40
"77",2015-07-02,62
"78",2015-07-03,60
"79",2015-07-04,43
"80",2015-07-05,75
"81",2015-07-06,64
"82",2015-07-07,68
"83",2015-07-08,56
"84",2015-07-09,51
"85",2015-07-10,54
"86",2015-07-11,36
"87",2015-07-12,41
"88",2015-07-13,49
"89",2015-07-14,47
"90",2015-07-15,70
"91",2015-07-16,49
"92",2015-07-17,55
"93",2015-07-18,35
"94",2015-07-19,41
"95",2015-07-20,63
"96",2015-07-21,65
"97",2015-07-22,41
"98",2015-07-23,55
"99",2015-07-24,56
"100",2015-07-25,25
"101",2015-07-26,45
"102",2015-07-27,34
"103",2015-07-28,46
"104",2015-07-29,45
"105",2015-07-30,77
"106",2015-07-31,65
"107",2015-08-01,49
"108",2015-08-02,42
"109",2015-08-03,55
"110",2015-08-04,45
"111",2015-08-05,43
"112",2015-08-06,42
"113",2015-08-07,68
"114",2015-08-08,39
"115",2015-08-09,45
"116",2015-08-10,47
"117",2015-08-11,87
"118",2015-08-12,64
"119",2015-08-13,64
"120",2015-08-14,49
"121",2015-08-15,31
"122",2015-08-16,52
"123",2015-08-17,59
"124",2015-08-18,57
"125",2015-08-19,60
"126",2015-08-20,67
"127",2015-08-21,86
"128",2015-08-22,34
"129",2015-08-23,39
"130",2015-08-24,51
"131",2015-08-25,49
"132",2015-08-26,59
"133",2015-08-27,66
"134",2015-08-28,54
"135",2015-08-29,22
"136",2015-08-30,47
"137",2015-08-31,46
"138",2015-09-01,77
"139",2015-09-02,68
"140",2015-09-03,70
"141",2015-09-04,66
"142",2015-09-05,45
"143",2015-09-06,47
"144",2015-09-07,34
"145",2015-09-08,65
"146",2015-09-09,48
"147",2015-09-10,55
"148",2015-09-11,37
"149",2015-09-12,21
"150",2015-09-13,41
"151",2015-09-14,54
"152",2015-09-15,57
"153",2015-09-16,69
"154",2015-09-17,49
"155",2015-09-18,43
"156",2015-09-19,60
"157",2015-09-20,60
"158",2015-09-21,48
"159",2015-09-22,74
"160",2015-09-23,66
"161",2015-09-24,89
"162",2015-09-25,75
"163",2015-09-26,65
"164",2015-09-27,56
