"","Date","visitor_count","is_schyr","quarter","year","school_year"
"1",2009-07-01,1856,0,3,2009,2008
"2",2009-07-02,1752,0,3,2009,2008
"3",2009-07-03,650,0,3,2009,2008
"4",2009-07-04,7,0,3,2009,2008
"5",2009-07-05,563,0,3,2009,2008
"6",2009-07-06,1954,0,3,2009,2008
"7",2009-07-07,2034,0,3,2009,2008
"8",2009-07-08,1983,0,3,2009,2008
"9",2009-07-09,1728,0,3,2009,2008
"10",2009-07-10,1394,0,3,2009,2008
"11",2009-07-11,509,0,3,2009,2008
"12",2009-07-12,512,0,3,2009,2008
"13",2009-07-13,1781,0,3,2009,2008
"14",2009-07-14,1781,0,3,2009,2008
"15",2009-07-15,1773,0,3,2009,2008
"16",2009-07-16,1764,0,3,2009,2008
"17",2009-07-17,1347,0,3,2009,2008
"18",2009-07-18,432,0,3,2009,2008
"19",2009-07-19,501,0,3,2009,2008
"20",2009-07-20,1776,0,3,2009,2008
"21",2009-07-21,1810,0,3,2009,2008
"22",2009-07-22,1721,0,3,2009,2008
"23",2009-07-23,1691,0,3,2009,2008
"24",2009-07-24,1305,0,3,2009,2008
"25",2009-07-25,446,0,3,2009,2008
"26",2009-07-26,482,0,3,2009,2008
"27",2009-07-27,1840,0,3,2009,2008
"28",2009-07-28,1829,0,3,2009,2008
"29",2009-07-29,1689,0,3,2009,2008
"30",2009-07-30,1604,0,3,2009,2008
"31",2009-07-31,1329,0,3,2009,2008
"32",2009-08-01,419,0,3,2009,2008
"33",2009-08-02,402,0,3,2009,2008
"34",2009-08-03,1600,0,3,2009,2008
"35",2009-08-04,1653,0,3,2009,2008
"36",2009-08-05,1582,0,3,2009,2008
"37",2009-08-06,1533,0,3,2009,2008
"38",2009-08-07,1310,0,3,2009,2008
"39",2009-08-08,377,0,3,2009,2008
"40",2009-08-09,489,0,3,2009,2008
"41",2009-08-10,1553,0,3,2009,2008
"42",2009-08-11,1577,0,3,2009,2008
"43",2009-08-12,1517,0,3,2009,2008
"44",2009-08-13,1474,0,3,2009,2008
"45",2009-08-14,1143,0,3,2009,2008
"46",2009-08-15,405,0,3,2009,2008
"47",2009-08-16,416,0,3,2009,2008
"48",2009-08-17,1420,0,3,2009,2008
"49",2009-08-18,1502,0,3,2009,2008
"50",2009-08-19,1453,0,3,2009,2008
"51",2009-08-20,1320,0,3,2009,2008
"52",2009-08-21,1087,0,3,2009,2008
"53",2009-08-22,386,0,3,2009,2008
"54",2009-08-23,382,0,3,2009,2008
"55",2009-08-24,1313,0,3,2009,2008
"56",2009-08-25,1284,0,3,2009,2008
"57",2009-08-26,1210,0,3,2009,2008
"58",2009-08-27,1135,0,3,2009,2008
"59",2009-08-28,1038,0,3,2009,2008
"60",2009-08-29,376,0,3,2009,2008
